iter	Logloss	Recall:use_weights=true	Recall:use_weights=false
0	0.5878487306	0.9257265877	0.9257265877
1	0.4998010879	0.9364908504	0.9364908504
2	0.4268715331	0.9364908504	0.9364908504
3	0.3593032451	0.9397201292	0.9397201292
4	0.3195825925	0.9397201292	0.9397201292
5	0.3011667711	0.942949408	0.942949408
6	0.2834288022	0.9504843918	0.9504843918
7	0.2745100677	0.9526372443	0.9526372443
8	0.2572294922	0.9504843918	0.9504843918
9	0.2476683709	0.9515608181	0.9515608181
10	0.241549172	0.9569429494	0.9569429494
11	0.2325567262	0.9601722282	0.9601722282
12	0.2284685614	0.9644779333	0.9644779333
13	0.226128854	0.9601722282	0.9601722282
14	0.2224777348	0.9601722282	0.9601722282
15	0.220917624	0.9590958019	0.9590958019
16	0.2169963724	0.9612486545	0.9612486545
17	0.2139579636	0.9623250807	0.9623250807
18	0.2118042201	0.9644779333	0.9644779333
19	0.2082348108	0.9709364909	0.9709364909
20	0.2059406336	0.9741657696	0.9741657696
21	0.2026108461	0.9752421959	0.9752421959
22	0.201001202	0.9752421959	0.9752421959
23	0.199696823	0.9741657696	0.9741657696
24	0.1983767936	0.9741657696	0.9741657696
25	0.1969718388	0.9763186222	0.9763186222
26	0.1950852539	0.9773950484	0.9773950484
27	0.1939487148	0.9763186222	0.9763186222
28	0.1932288916	0.9784714747	0.9784714747
29	0.1925071405	0.9784714747	0.9784714747
30	0.1916830505	0.9784714747	0.9784714747
31	0.1906158213	0.9784714747	0.9784714747
32	0.1896254602	0.9784714747	0.9784714747
33	0.1883011461	0.9806243272	0.9806243272
34	0.1872798781	0.9806243272	0.9806243272
35	0.1868085297	0.9806243272	0.9806243272
36	0.1857542938	0.9806243272	0.9806243272
37	0.1850045444	0.9806243272	0.9806243272
38	0.1844979047	0.9806243272	0.9806243272
39	0.1834103379	0.979547901	0.979547901
40	0.182662193	0.9784714747	0.9784714747
41	0.1818330916	0.979547901	0.979547901
42	0.1809623835	0.979547901	0.979547901
43	0.1803309899	0.9806243272	0.9806243272
44	0.1790192311	0.979547901	0.979547901
45	0.1782309611	0.979547901	0.979547901
46	0.1769156213	0.979547901	0.979547901
47	0.1759570071	0.979547901	0.979547901
48	0.1748070769	0.979547901	0.979547901
49	0.1737351528	0.9806243272	0.9806243272
50	0.1728553969	0.9817007535	0.9817007535
51	0.172575284	0.9806243272	0.9806243272
52	0.1718421309	0.9806243272	0.9806243272
53	0.1713570141	0.9806243272	0.9806243272
54	0.170027544	0.979547901	0.979547901
55	0.1688039799	0.9817007535	0.9817007535
56	0.1684209617	0.9817007535	0.9817007535
57	0.167963009	0.9817007535	0.9817007535
58	0.1673629283	0.9817007535	0.9817007535
59	0.1662280337	0.9817007535	0.9817007535
60	0.1651073667	0.9817007535	0.9817007535
61	0.165013897	0.9817007535	0.9817007535
62	0.1642268896	0.9827771798	0.9827771798
63	0.1634618664	0.9827771798	0.9827771798
64	0.1622818189	0.9827771798	0.9827771798
65	0.1616382621	0.9827771798	0.9827771798
66	0.1606447443	0.9827771798	0.9827771798
67	0.1599940348	0.9827771798	0.9827771798
68	0.1594405705	0.9827771798	0.9827771798
69	0.1586708009	0.983853606	0.983853606
70	0.1583630621	0.983853606	0.983853606
71	0.1579586931	0.9849300323	0.9849300323
72	0.1573504125	0.983853606	0.983853606
73	0.1568983092	0.9849300323	0.9849300323
74	0.1564680413	0.9849300323	0.9849300323
75	0.1560841439	0.9849300323	0.9849300323
76	0.155662664	0.9849300323	0.9849300323
77	0.1549114929	0.9849300323	0.9849300323
78	0.1545642026	0.9849300323	0.9849300323
79	0.1538227255	0.9849300323	0.9849300323
80	0.1534296401	0.9849300323	0.9849300323
81	0.1528387143	0.9849300323	0.9849300323
82	0.1525306961	0.9860064586	0.9860064586
83	0.1513647115	0.9860064586	0.9860064586
84	0.1502986487	0.9860064586	0.9860064586
85	0.1493925828	0.9860064586	0.9860064586
86	0.1483371678	0.9870828848	0.9870828848
87	0.1476727798	0.9860064586	0.9860064586
88	0.1466236594	0.9870828848	0.9870828848
89	0.1458065434	0.9860064586	0.9860064586
90	0.1446680768	0.9870828848	0.9870828848
91	0.1440899567	0.9870828848	0.9870828848
92	0.1429965906	0.9870828848	0.9870828848
93	0.1409800996	0.9860064586	0.9860064586
94	0.1402343152	0.9860064586	0.9860064586
95	0.1394813211	0.9870828848	0.9870828848
96	0.1389179137	0.9870828848	0.9870828848
97	0.1382810122	0.9860064586	0.9860064586
98	0.1377893893	0.9870828848	0.9870828848
99	0.1372654842	0.9881593111	0.9881593111
